Title:               5-Year 0-1/8% Treasury Inflation-Indexed Note, Due 4/15/2016 (DISCONTINUED)©
Series ID:           DTP5A16
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2011-04-25 to 2016-04-15
Last Updated:        2016-04-18 6:06 AM CDT
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2011-04-25  -0.245
2011-04-26  -0.309
2011-04-27  -0.341
2011-04-28  -0.449
2011-04-29  -0.523
2011-05-02  -0.524
2011-05-03  -0.515
2011-05-04  -0.518
2011-05-05  -0.480
2011-05-06  -0.469
2011-05-09  -0.503
2011-05-10  -0.468
2011-05-11  -0.425
2011-05-12  -0.374
2011-05-13  -0.357
2011-05-16  -0.357
2011-05-17  -0.343
2011-05-18  -0.364
2011-05-19  -0.322
2011-05-20  -0.310
2011-05-23  -0.295
2011-05-24  -0.326
2011-05-25  -0.353
2011-05-26  -0.406
2011-05-27  -0.389
2011-05-30       .
2011-05-31  -0.400
2011-06-01  -0.454
2011-06-02  -0.448
2011-06-03  -0.492
2011-06-06  -0.497
2011-06-07  -0.529
2011-06-08  -0.556
2011-06-09  -0.483
2011-06-10  -0.472
2011-06-13  -0.467
2011-06-14  -0.418
2011-06-15  -0.515
2011-06-16  -0.508
2011-06-17  -0.459
2011-06-20  -0.433
2011-06-21  -0.427
2011-06-22  -0.407
2011-06-23  -0.430
2011-06-24  -0.466
2011-06-27  -0.424
2011-06-28  -0.329
2011-06-29  -0.392
2011-06-30  -0.366
2011-07-01  -0.342
2011-07-04       .
2011-07-05  -0.421
2011-07-06  -0.482
2011-07-07  -0.455
2011-07-08  -0.536
2011-07-11  -0.620
2011-07-12  -0.636
2011-07-13  -0.639
2011-07-14  -0.580
2011-07-15  -0.647
2011-07-18  -0.655
2011-07-19  -0.669
2011-07-20  -0.630
2011-07-21  -0.598
2011-07-22  -0.632
2011-07-25  -0.643
2011-07-26  -0.635
2011-07-27  -0.640
2011-07-28  -0.697
2011-07-29  -0.817
2011-08-01  -0.870
2011-08-02  -0.870
2011-08-03  -0.742
2011-08-04  -0.768
2011-08-05  -0.673
2011-08-08  -0.727
2011-08-09  -0.883
2011-08-10  -1.047
2011-08-11  -0.919
2011-08-12  -0.942
2011-08-15  -0.901
2011-08-16  -0.861
2011-08-17  -0.856
2011-08-18  -0.795
2011-08-19  -0.844
2011-08-22  -0.866
2011-08-23  -0.802
2011-08-24  -0.706
2011-08-25  -0.764
2011-08-26  -0.781
2011-08-29  -0.758
2011-08-30  -0.811
2011-08-31  -0.846
2011-09-01  -0.896
2011-09-02  -0.918
2011-09-05       .
2011-09-06  -0.829
2011-09-07  -0.820
2011-09-08  -0.887
2011-09-09  -0.901
2011-09-12  -0.839
2011-09-13  -0.795
2011-09-14  -0.736
2011-09-15  -0.803
2011-09-16  -0.829
2011-09-19  -0.816
2011-09-20  -0.843
2011-09-21  -0.843
2011-09-22  -0.750
2011-09-23  -0.633
2011-09-26  -0.600
2011-09-27  -0.629
2011-09-28  -0.659
2011-09-29  -0.645
2011-09-30  -0.598
2011-10-03  -0.674
2011-10-04  -0.653
2011-10-05  -0.585
2011-10-06  -0.653
2011-10-07  -0.645
2011-10-10       .
2011-10-11  -0.600
2011-10-12  -0.570
2011-10-13  -0.581
2011-10-14  -0.612
2011-10-17  -0.662
2011-10-18  -0.729
2011-10-19  -0.725
2011-10-20  -0.738
2011-10-21  -0.739
2011-10-24  -0.731
2011-10-25  -0.822
2011-10-26  -0.810
2011-10-27  -0.810
2011-10-28  -0.874
2011-10-31  -0.959
2011-11-01  -1.010
2011-11-02  -1.063
2011-11-03  -1.054
2011-11-04  -1.110
2011-11-07  -1.136
2011-11-08  -1.084
2011-11-09  -1.088
2011-11-10  -1.083
2011-11-11       .
2011-11-14  -1.046
2011-11-15  -0.955
2011-11-16  -0.894
2011-11-17  -0.829
2011-11-18  -0.823
2011-11-21  -0.788
2011-11-22  -0.796
2011-11-23  -0.841
2011-11-24       .
2011-11-25  -0.833
2011-11-28  -0.881
2011-11-29  -0.888
2011-11-30  -0.928
2011-12-01  -0.922
2011-12-02  -0.962
2011-12-05  -0.968
2011-12-06  -0.925
2011-12-07  -0.948
2011-12-08  -0.902
2011-12-09  -0.894
2011-12-12  -0.905
2011-12-13  -0.925
2011-12-14  -0.860
2011-12-15  -0.866
2011-12-16  -0.878
2011-12-19  -0.917
2011-12-20  -0.949
2011-12-21  -0.907
2011-12-22  -0.857
2011-12-23  -0.806
2011-12-26       .
2011-12-27  -0.826
2011-12-28  -0.834
2011-12-29  -0.845
2011-12-30  -0.898
2012-01-02       .
2012-01-03  -0.877
2012-01-04  -0.935
2012-01-05  -0.987
2012-01-06  -0.984
2012-01-09  -1.002
2012-01-10  -0.975
2012-01-11  -0.991
2012-01-12  -0.976
2012-01-13  -1.015
2012-01-16       .
2012-01-17  -1.052
2012-01-18  -1.044
2012-01-19  -1.035
2012-01-20  -1.013
2012-01-23  -0.985
2012-01-24  -1.035
2012-01-25  -1.144
2012-01-26  -1.251
