Title:               10-Year 2-1/8% Treasury Inflation-Indexed Note, Due 1/15/2019©
Series ID:           DTP10J19
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2009-01-08 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2009-01-08   2.012
2009-01-09   1.885
2009-01-12   1.742
2009-01-13   1.720
2009-01-14   1.776
2009-01-15   1.794
2009-01-16   1.794
2009-01-19       .
2009-01-20   1.776
2009-01-21   2.012
2009-01-22   1.964
2009-01-23   1.939
2009-01-26   1.904
2009-01-27   1.753
2009-01-28   1.877
2009-01-29   1.837
2009-01-30   1.739
2009-02-02   1.690
2009-02-03   1.759
2009-02-04   1.774
2009-02-05   1.840
2009-02-06   1.835
2009-02-09   1.698
2009-02-10   1.657
2009-02-11   1.634
2009-02-12   1.554
2009-02-13   1.669
2009-02-16       .
2009-02-17   1.520
2009-02-18   1.610
2009-02-19   1.728
2009-02-20   1.674
2009-02-23   1.675
2009-02-24   1.825
2009-02-25   1.973
2009-02-26   2.020
2009-02-27   2.055
2009-03-02   1.972
2009-03-03   2.025
2009-03-04   2.072
2009-03-05   1.958
2009-03-06   1.995
2009-03-09   2.055
2009-03-10   2.143
2009-03-11   2.041
2009-03-12   1.937
2009-03-13   1.866
2009-03-16   1.880
2009-03-17   1.883
2009-03-18   1.342
2009-03-19   1.304
2009-03-20   1.422
2009-03-23   1.393
2009-03-24   1.337
2009-03-25   1.410
2009-03-26   1.293
2009-03-27   1.363
2009-03-30   1.377
2009-03-31   1.415
2009-04-01   1.355
2009-04-02   1.440
2009-04-03   1.515
2009-04-06   1.526
2009-04-07   1.560
2009-04-08   1.526
2009-04-09   1.587
2009-04-10       .
2009-04-13   1.532
2009-04-14   1.516
2009-04-15   1.469
2009-04-16   1.548
2009-04-17   1.677
2009-04-20   1.633
2009-04-21   1.674
2009-04-22   1.640
2009-04-23   1.488
2009-04-24   1.510
2009-04-27   1.464
2009-04-28   1.522
2009-04-29   1.589
2009-04-30   1.638
2009-05-01   1.787
2009-05-04   1.763
2009-05-05   1.750
2009-05-06   1.708
2009-05-07   1.687
2009-05-08   1.751
2009-05-11   1.676
2009-05-12   1.672
2009-05-13   1.650
2009-05-14   1.646
2009-05-15   1.638
2009-05-18   1.644
2009-05-19   1.623
2009-05-20   1.529
2009-05-21   1.647
2009-05-22   1.698
2009-05-25       .
2009-05-26   1.700
2009-05-27   1.802
2009-05-28   1.853
2009-05-29   1.633
2009-06-01   1.777
2009-06-02   1.671
2009-06-03   1.642
2009-06-04   1.819
2009-06-05   1.838
2009-06-08   1.924
2009-06-09   1.875
2009-06-10   1.862
2009-06-11   1.876
2009-06-12   1.883
2009-06-15   1.857
2009-06-16   1.864
2009-06-17   1.895
2009-06-18   1.965
2009-06-19   1.892
2009-06-22   1.878
2009-06-23   1.794
2009-06-24   1.897
2009-06-25   1.784
2009-06-26   1.829
2009-06-29   1.804
2009-06-30   1.748
2009-07-01   1.815
2009-07-02   1.852
2009-07-03       .
2009-07-06   1.905
2009-07-07   1.850
2009-07-08   1.747
2009-07-09   1.864
2009-07-10   1.781
2009-07-13   1.841
