Title:               1-Month Commercial Paper Rate (DISCONTINUED)
Series ID:           DCP30
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.15 Selected Interest Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          1982-11-29 to 1997-08-29
Last Updated:        2002-06-28 4:28 PM CDT
Notes:               

DATE        VALUE
1992-06-25   3.87
1992-06-26   3.88
1992-06-29   3.88
1992-06-30   3.90
1992-07-01   3.89
1992-07-02   3.53
1992-07-03      .
1992-07-06   3.49
1992-07-07   3.46
1992-07-08   3.44
1992-07-09   3.43
1992-07-10   3.41
1992-07-13   3.43
1992-07-14   3.42
1992-07-15   3.43
1992-07-16   3.42
1992-07-17   3.41
1992-07-20   3.41
1992-07-21   3.41
1992-07-22   3.40
1992-07-23   3.39
1992-07-24   3.37
1992-07-27   3.37
1992-07-28   3.37
1992-07-29   3.36
1992-07-30   3.35
1992-07-31   3.36
1992-08-03   3.39
1992-08-04   3.39
1992-08-05   3.39
1992-08-06   3.39
1992-08-07   3.37
1992-08-10   3.35
1992-08-11   3.35
1992-08-12   3.35
1992-08-13   3.34
1992-08-14   3.35
1992-08-17   3.38
1992-08-18   3.38
1992-08-19   3.37
1992-08-20   3.37
1992-08-21   3.36
1992-08-24   3.38
1992-08-25   3.40
1992-08-26   3.39
1992-08-27   3.39
1992-08-28   3.39
1992-08-31   3.40
1992-09-01   3.41
1992-09-02   3.41
1992-09-03   3.40
1992-09-04   3.22
1992-09-07      .
1992-09-08   3.18
1992-09-09   3.17
1992-09-10   3.17
1992-09-11   3.16
1992-09-14   3.15
1992-09-15   3.17
1992-09-16   3.18
1992-09-17   3.19
1992-09-18   3.21
1992-09-21   3.23
1992-09-22   3.25
1992-09-23   3.28
1992-09-24   3.30
1992-09-25   3.29
1992-09-28   3.29
1992-09-29   3.31
1992-09-30   3.33
1992-10-01   3.24
1992-10-02   3.15
1992-10-05   3.15
1992-10-06   3.14
1992-10-07   3.15
1992-10-08   3.15
1992-10-09   3.16
1992-10-12      .
1992-10-13   3.20
1992-10-14   3.25
1992-10-15   3.23
1992-10-16   3.23
1992-10-19   3.26
1992-10-20   3.30
1992-10-21   3.27
1992-10-22   3.26
1992-10-23   3.24
1992-10-26   3.27
1992-10-27   3.27
1992-10-28   3.26
1992-10-29   3.26
1992-10-30   3.24
1992-11-02   3.26
1992-11-03   3.26
1992-11-04   3.25
1992-11-05   3.25
1992-11-06   3.24
1992-11-09   3.28
1992-11-10   3.28
1992-11-11      .
1992-11-12   3.28
1992-11-13   3.27
1992-11-16   3.30
1992-11-17   3.29
1992-11-18   3.26
1992-11-19   3.21
1992-11-20   3.21
1992-11-23   3.23
1992-11-24   3.22
1992-11-25   3.22
1992-11-26      .
1992-11-27   3.22
1992-11-30   3.28
1992-12-01   3.30
1992-12-02   4.03
1992-12-03   3.97
1992-12-04   3.94
1992-12-07   3.89
1992-12-08   3.82
1992-12-09   3.76
1992-12-10   3.77
1992-12-11   3.76
1992-12-14   3.80
1992-12-15   3.80
1992-12-16   3.77
1992-12-17   3.69
1992-12-18   3.67
1992-12-21   3.63
1992-12-22   3.63
1992-12-23   3.61
1992-12-24   3.61
1992-12-25      .
1992-12-28   3.62
1992-12-29   3.62
1992-12-30   3.55
1992-12-31   3.46
1993-01-01      .
1993-01-04   3.39
1993-01-05   3.36
1993-01-06   3.34
1993-01-07   3.33
1993-01-08   3.28
1993-01-11   3.26
1993-01-12   3.23
1993-01-13   3.21
1993-01-14   3.18
1993-01-15   3.14
1993-01-18      .
1993-01-19   3.17
1993-01-20   3.17
1993-01-21   3.16
1993-01-22   3.15
1993-01-25   3.15
1993-01-26   3.14
1993-01-27   3.14
1993-01-28   3.14
1993-01-29   3.13
1993-02-01   3.15
1993-02-02   3.16
1993-02-03   3.19
1993-02-04   3.17
1993-02-05   3.15
1993-02-08   3.14
1993-02-09   3.13
1993-02-10   3.14
1993-02-11   3.14
1993-02-12   3.16
1993-02-15      .
1993-02-16   3.18
1993-02-17   3.18
1993-02-18   3.14
1993-02-19   3.12
1993-02-22   3.13
1993-02-23   3.11
1993-02-24   3.10
1993-02-25   3.10
1993-02-26   3.12
1993-03-01   3.12
1993-03-02   3.14
1993-03-03   3.14
1993-03-04   3.12
1993-03-05   3.15
1993-03-08   3.13
1993-03-09   3.15
1993-03-10   3.16
1993-03-11   3.16
1993-03-12   3.17
1993-03-15   3.18
1993-03-16   3.17
1993-03-17   3.17
1993-03-18   3.16
1993-03-19   3.14
1993-03-22   3.14
1993-03-23   3.14
1993-03-24   3.14
1993-03-25   3.14
1993-03-26   3.16
1993-03-29   3.19
1993-03-30   3.20
1993-03-31   3.19
1993-04-01   3.18
1993-04-02   3.17
1993-04-05   3.16
1993-04-06   3.16
1993-04-07   3.15
1993-04-08   3.15
1993-04-09      .
1993-04-12   3.15
1993-04-13   3.14
1993-04-14   3.15
1993-04-15   3.14
1993-04-16   3.13
1993-04-19   3.13
1993-04-20   3.12
1993-04-21   3.09
1993-04-22   3.10
1993-04-23   3.08
1993-04-26   3.09
1993-04-27   3.10
1993-04-28   3.11
1993-04-29   3.10
1993-04-30   3.09
1993-05-03   3.09
1993-05-04   3.08
1993-05-05   3.07
1993-05-06   3.07
1993-05-07   3.07
1993-05-10   3.07
1993-05-11   3.07
1993-05-12   3.09
1993-05-13   3.10
1993-05-14   3.11
1993-05-17   3.13
1993-05-18   3.12
1993-05-19   3.10
1993-05-20   3.09
1993-05-21   3.09
1993-05-24   3.14
1993-05-25   3.15
1993-05-26   3.16
1993-05-27   3.14
1993-05-28   3.16
1993-05-31      .
1993-06-01   3.18
1993-06-02   3.17
1993-06-03   3.16
1993-06-04   3.19
1993-06-07   3.20
1993-06-08   3.20
1993-06-09   3.21
1993-06-10   3.22
1993-06-11   3.19
1993-06-14   3.19
1993-06-15   3.18
1993-06-16   3.17
1993-06-17   3.17
1993-06-18   3.18
1993-06-21   3.19
1993-06-22   3.19
1993-06-23   3.22
1993-06-24   3.21
1993-06-25   3.21
1993-06-28   3.21
1993-06-29   3.21
1993-06-30   3.23
1993-07-01   3.21
1993-07-02   3.16
1993-07-05      .
1993-07-06   3.14
1993-07-07   3.17
1993-07-08   3.16
1993-07-09   3.15
1993-07-12   3.15
1993-07-13   3.14
1993-07-14   3.13
1993-07-15   3.13
1993-07-16   3.12
1993-07-19   3.12
1993-07-20   3.13
1993-07-21   3.15
1993-07-22   3.15
1993-07-23   3.15
1993-07-26   3.16
1993-07-27   3.15
1993-07-28   3.15
1993-07-29   3.15
1993-07-30   3.15
1993-08-02   3.16
1993-08-03   3.16
1993-08-04   3.17
1993-08-05   3.16
1993-08-06   3.15
1993-08-09   3.15
1993-08-10   3.15
1993-08-11   3.15
1993-08-12   3.14
1993-08-13   3.14
1993-08-16   3.16
1993-08-17   3.16
1993-08-18   3.16
1993-08-19   3.15
1993-08-20   3.12
1993-08-23   3.11
1993-08-24   3.11
1993-08-25   3.11
1993-08-26   3.12
1993-08-27   3.11
1993-08-30   3.13
1993-08-31   3.14
1993-09-01   3.15
1993-09-02   3.15
1993-09-03   3.12
1993-09-06      .
1993-09-07   3.11
1993-09-08   3.12
1993-09-09   3.12
1993-09-10   3.12
1993-09-13   3.13
1993-09-14   3.13
1993-09-15   3.15
1993-09-16   3.14
1993-09-17   3.13
1993-09-20   3.13
1993-09-21   3.15
1993-09-22   3.16
1993-09-23   3.15
1993-09-24   3.15
1993-09-27   3.15
1993-09-28   3.17
1993-09-29   3.18
1993-09-30   3.19
1993-10-01   3.16
1993-10-04   3.16
1993-10-05   3.16
1993-10-06   3.15
1993-10-07   3.14
1993-10-08   3.14
1993-10-11      .
1993-10-12   3.15
1993-10-13   3.15
1993-10-14   3.14
1993-10-15   3.13
1993-10-18   3.13
1993-10-19   3.13
1993-10-20   3.13
1993-10-21   3.13
1993-10-22   3.13
1993-10-25   3.14
1993-10-26   3.15
1993-10-27   3.14
1993-10-28   3.14
1993-10-29   3.14
1993-11-01   3.15
1993-11-02   3.15
1993-11-03   3.15
1993-11-04   3.15
1993-11-05   3.15
1993-11-08   3.15
1993-11-09   3.14
1993-11-10   3.15
1993-11-11      .
1993-11-12   3.14
1993-11-15   3.15
1993-11-16   3.15
1993-11-17   3.14
1993-11-18   3.14
1993-11-19   3.14
1993-11-22   3.14
1993-11-23   3.14
1993-11-24   3.15
1993-11-25      .
1993-11-26   3.15
1993-11-29   3.15
1993-11-30   3.15
1993-12-01   3.14
1993-12-02   3.46
1993-12-03   3.46
1993-12-06   3.45
1993-12-07   3.43
1993-12-08   3.41
1993-12-09   3.39
1993-12-10   3.36
1993-12-13   3.35
1993-12-14   3.35
1993-12-15   3.35
1993-12-16   3.33
1993-12-17   3.32
1993-12-20   3.31
1993-12-21   3.31
1993-12-22   3.31
1993-12-23   3.31
1993-12-24      .
1993-12-27   3.33
1993-12-28   3.35
1993-12-29   3.36
1993-12-30   3.36
1993-12-31   3.34
1994-01-03   3.25
1994-01-04   3.23
1994-01-05   3.21
1994-01-06   3.19
1994-01-07   3.16
1994-01-10   3.13
1994-01-11   3.12
1994-01-12   3.11
1994-01-13   3.11
1994-01-14   3.11
1994-01-17      .
1994-01-18   3.13
1994-01-19   3.14
1994-01-20   3.14
1994-01-21   3.12
1994-01-24   3.12
1994-01-25   3.11
1994-01-26   3.10
1994-01-27   3.10
1994-01-28   3.10
1994-01-31   3.10
1994-02-01   3.12
1994-02-02   3.15
1994-02-03   3.16
1994-02-04   3.16
1994-02-07   3.40
1994-02-08   3.41
1994-02-09   3.41
1994-02-10   3.42
1994-02-11   3.42
1994-02-14   3.45
1994-02-15   3.49
1994-02-16   3.48
1994-02-17   3.44
1994-02-18   3.42
1994-02-21      .
1994-02-22   3.45
1994-02-23   3.44
1994-02-24   3.48
1994-02-25   3.50
1994-02-28   3.52
1994-03-01   3.52
1994-03-02   3.59
1994-03-03   3.59
1994-03-04   3.62
1994-03-07   3.62
1994-03-08   3.61
1994-03-09   3.61
1994-03-10   3.60
1994-03-11   3.59
1994-03-14   3.61
1994-03-15   3.62
1994-03-16   3.62
1994-03-17   3.60
1994-03-18   3.62
1994-03-21   3.64
1994-03-22   3.70
1994-03-23   3.66
1994-03-24   3.67
1994-03-25   3.67
1994-03-28   3.68
1994-03-29   3.67
1994-03-30   3.68
1994-03-31   3.69
1994-04-01      .
1994-04-04   3.82
1994-04-05   3.81
1994-04-06   3.77
1994-04-07   3.74
1994-04-08   3.72
1994-04-11   3.72
1994-04-12   3.72
1994-04-13   3.70
1994-04-14   3.70
1994-04-15   3.72
1994-04-18   3.88
1994-04-19   3.90
1994-04-20   3.89
1994-04-21   3.88
1994-04-22   3.87
1994-04-25   3.89
1994-04-26   3.89
1994-04-27   3.88
1994-04-28   3.87
1994-04-29   3.90
1994-05-02   3.95
1994-05-03   3.99
1994-05-04   4.02
1994-05-05   4.08
1994-05-06   4.23
1994-05-09   4.38
1994-05-10   4.39
1994-05-11   4.37
1994-05-12   4.37
1994-05-13   4.36
1994-05-16   4.37
1994-05-17   4.37
1994-05-18   4.35
1994-05-19   4.34
1994-05-20   4.31
1994-05-23   4.32
1994-05-24   4.33
1994-05-25   4.32
1994-05-26   4.32
1994-05-27   4.34
1994-05-30      .
1994-05-31   4.36
1994-06-01   4.37
1994-06-02   4.37
1994-06-03   4.38
1994-06-06   4.34
1994-06-07   4.33
1994-06-08   4.31
1994-06-09   4.30
1994-06-10   4.30
1994-06-13   4.32
1994-06-14   4.33
1994-06-15   4.34
1994-06-16   4.35
1994-06-17   4.34
1994-06-20   4.35
1994-06-21   4.36
1994-06-22   4.37
1994-06-23   4.36
1994-06-24   4.37
1994-06-27   4.42
1994-06-28   4.44
1994-06-29   4.47
1994-06-30   4.50
1994-07-01   4.52
1994-07-04      .
1994-07-05   4.52
1994-07-06   4.54
1994-07-07   4.51
1994-07-08   4.55
1994-07-11   4.57
1994-07-12   4.57
1994-07-13   4.56
1994-07-14   4.54
1994-07-15   4.49
1994-07-18   4.45
1994-07-19   4.43
1994-07-20   4.42
1994-07-21   4.45
1994-07-22   4.45
1994-07-25   4.46
1994-07-26   4.46
1994-07-27   4.46
1994-07-28   4.48
1994-07-29   4.46
1994-08-01   4.44
1994-08-02   4.43
1994-08-03   4.44
1994-08-04   4.43
1994-08-05   4.49
1994-08-08   4.52
1994-08-09   4.52
1994-08-10   4.52
1994-08-11   4.54
1994-08-12   4.61
1994-08-15   4.65
1994-08-16   4.69
1994-08-17   4.79
1994-08-18   4.79
1994-08-19   4.80
1994-08-22   4.81
1994-08-23   4.80
1994-08-24   4.78
1994-08-25   4.78
1994-08-26   4.78
1994-08-29   4.79
1994-08-30   4.80
1994-08-31   4.82
1994-09-01   4.81
1994-09-02   4.80
1994-09-05      .
1994-09-06   4.81
1994-09-07   4.81
1994-09-08   4.82
1994-09-09   4.84
1994-09-12   4.86
1994-09-13   4.87
1994-09-14   4.87
1994-09-15   4.87
1994-09-16   4.88
1994-09-19   4.89
1994-09-20   4.90
1994-09-21   4.91
1994-09-22   4.98
1994-09-23   4.99
1994-09-26   5.02
1994-09-27   5.03
1994-09-28   4.98
1994-09-29   4.96
1994-09-30   5.04
1994-10-03   5.01
1994-10-04   5.05
1994-10-05   5.07
1994-10-06   5.11
1994-10-07   5.17
1994-10-10      .
1994-10-11   5.14
1994-10-12   5.10
1994-10-13   5.05
1994-10-14   5.01
1994-10-17   4.98
1994-10-18   4.96
1994-10-19   4.96
1994-10-20   4.95
1994-10-21   4.97
1994-10-24   4.96
1994-10-25   4.98
1994-10-26   4.98
1994-10-27   4.98
1994-10-28   4.99
1994-10-31   5.00
1994-11-01   5.02
1994-11-02   5.06
1994-11-03   5.08
1994-11-04   5.11
1994-11-07   5.22
1994-11-08   5.24
1994-11-09   5.24
1994-11-10   5.27
1994-11-11      .
1994-11-14   5.32
1994-11-15   5.40
1994-11-16   5.58
1994-11-17   5.59
1994-11-18   5.59
1994-11-21   5.60
1994-11-22   5.60
1994-11-23   5.58
1994-11-24      .
1994-11-25   5.60
1994-11-28   5.60
1994-11-29   5.62
1994-11-30   5.66
1994-12-01   6.00
1994-12-02   6.08
1994-12-05   6.08
1994-12-06   6.11
1994-12-07   6.07
1994-12-08   6.09
1994-12-09   6.09
1994-12-12   6.11
1994-12-13   6.13
1994-12-14   6.13
1994-12-15   6.13
1994-12-16   6.12
1994-12-19   6.13
1994-12-20   6.10
1994-12-21   5.97
1994-12-22   5.99
1994-12-23   6.04
1994-12-26      .
1994-12-27   6.07
1994-12-28   6.10
1994-12-29   6.05
1994-12-30   6.03
1995-01-02      .
1995-01-03   5.90
1995-01-04   5.85
1995-01-05   5.82
1995-01-06   5.81
1995-01-09   5.80
1995-01-10   5.79
1995-01-11   5.75
1995-01-12   5.72
1995-01-13   5.69
1995-01-16      .
1995-01-17   5.71
1995-01-18   5.80
1995-01-19   5.89
1995-01-20   5.87
1995-01-23   5.89
1995-01-24   5.91
1995-01-25   5.96
1995-01-26   5.96
1995-01-27   5.98
1995-01-30   6.03
1995-01-31   6.09
1995-02-01   6.11
1995-02-02   6.10
1995-02-03   6.07
1995-02-06   6.04
1995-02-07   6.03
1995-02-08   6.03
1995-02-09   6.03
1995-02-10   6.04
1995-02-13   6.08
1995-02-14   6.08
1995-02-15   6.09
1995-02-16   6.06
1995-02-17   6.05
1995-02-20      .
1995-02-21   6.06
1995-02-22   6.05
1995-02-23   6.00
1995-02-24   6.02
1995-02-27   6.03
1995-02-28   6.05
1995-03-01   6.05
1995-03-02   6.05
1995-03-03   6.06
1995-03-06   6.07
1995-03-07   6.08
1995-03-08   6.08
1995-03-09   6.09
1995-03-10   6.09
1995-03-13   6.09
1995-03-14   6.07
1995-03-15   6.08
1995-03-16   6.06
1995-03-17   6.05
1995-03-20   6.05
1995-03-21   6.05
1995-03-22   6.05
1995-03-23   6.04
1995-03-24   6.04
1995-03-27   6.06
1995-03-28   6.07
1995-03-29   6.09
1995-03-30   6.09
1995-03-31   6.11
1995-04-03   6.11
1995-04-04   6.10
1995-04-05   6.08
1995-04-06   6.07
1995-04-07   6.05
1995-04-10   6.08
1995-04-11   6.08
1995-04-12   6.08
1995-04-13   6.07
1995-04-14      .
1995-04-17   6.06
1995-04-18   6.06
1995-04-19   6.05
1995-04-20   6.04
1995-04-21   6.03
1995-04-24   6.03
1995-04-25   6.04
1995-04-26   6.05
1995-04-27   6.06
1995-04-28   6.07
1995-05-01   6.09
1995-05-02   6.08
1995-05-03   6.07
1995-05-04   6.06
1995-05-05   6.04
1995-05-08   6.03
1995-05-09   6.02
1995-05-10   6.02
1995-05-11   6.03
1995-05-12   6.05
1995-05-15   6.07
1995-05-16   6.06
1995-05-17   6.05
1995-05-18   6.05
1995-05-19   6.05
1995-05-22   6.05
1995-05-23   6.05
1995-05-24   6.05
1995-05-25   6.04
1995-05-26   6.05
1995-05-29      .
1995-05-30   6.05
1995-05-31   6.07
1995-06-01   6.05
1995-06-02   5.98
1995-06-05   5.96
1995-06-06   5.98
1995-06-07   6.00
1995-06-08   6.04
1995-06-09   6.06
1995-06-12   6.06
1995-06-13   6.03
1995-06-14   6.03
1995-06-15   6.06
1995-06-16   6.07
1995-06-19   6.07
1995-06-20   6.08
1995-06-21   6.08
1995-06-22   6.07
1995-06-23   6.06
1995-06-26   6.07
1995-06-27   6.07
1995-06-28   6.09
1995-06-29   6.11
1995-06-30   6.13
1995-07-03   6.10
1995-07-04      .
1995-07-05   6.06
1995-07-06   6.03
1995-07-07   5.84
1995-07-10   5.84
1995-07-11   5.83
1995-07-12   5.81
1995-07-13   5.80
1995-07-14   5.81
1995-07-17   5.83
1995-07-18   5.82
1995-07-19   5.82
1995-07-20   5.83
1995-07-21   5.82
1995-07-24   5.84
1995-07-25   5.84
1995-07-26   5.84
1995-07-27   5.84
1995-07-28   5.84
1995-07-31   5.86
1995-08-01   5.86
1995-08-02   5.85
1995-08-03   5.85
1995-08-04   5.85
1995-08-07   5.85
1995-08-08   5.85
1995-08-09   5.84
1995-08-10   5.84
1995-08-11   5.84
1995-08-14   5.86
1995-08-15   5.87
1995-08-16   5.89
1995-08-17   5.87
1995-08-18   5.85
1995-08-21   5.85
1995-08-22   5.84
1995-08-23   5.84
1995-08-24   5.84
1995-08-25   5.83
1995-08-28   5.83
1995-08-29   5.84
1995-08-30   5.84
1995-08-31   5.84
1995-09-01   5.83
1995-09-04      .
1995-09-05   5.82
1995-09-06   5.82
1995-09-07   5.83
1995-09-08   5.82
1995-09-11   5.82
1995-09-12   5.81
1995-09-13   5.81
1995-09-14   5.80
1995-09-15   5.82
1995-09-18   5.81
1995-09-19   5.81
1995-09-20   5.80
1995-09-21   5.80
1995-09-22   5.80
1995-09-25   5.81
1995-09-26   5.81
1995-09-27   5.83
1995-09-28   5.87
1995-09-29   5.94
1995-10-02   5.87
1995-10-03   5.85
1995-10-04   5.84
1995-10-05   5.82
1995-10-06   5.82
1995-10-09      .
1995-10-10   5.83
1995-10-11   5.82
1995-10-12   5.81
1995-10-13   5.80
1995-10-16   5.80
1995-10-17   5.80
1995-10-18   5.80
1995-10-19   5.80
1995-10-20   5.80
1995-10-23   5.81
1995-10-24   5.81
1995-10-25   5.81
1995-10-26   5.81
1995-10-27   5.80
1995-10-30   5.80
1995-10-31   5.81
1995-11-01   5.80
1995-11-02   5.80
1995-11-03   5.80
1995-11-06   5.81
1995-11-07   5.81
1995-11-08   5.82
1995-11-09   5.81
1995-11-10   5.81
1995-11-13   5.81
1995-11-14   5.81
1995-11-15   5.82
1995-11-16   5.81
1995-11-17   5.80
1995-11-20   5.80
1995-11-21   5.80
1995-11-22   5.80
1995-11-23      .
1995-11-24   5.79
1995-11-27   5.79
1995-11-28   5.79
1995-11-29   5.78
1995-11-30   5.82
1995-12-01   5.83
1995-12-04   5.82
1995-12-05   5.82
1995-12-06   5.84
1995-12-07   5.84
1995-12-08   5.84
1995-12-11   5.84
1995-12-12   5.85
1995-12-13   5.86
1995-12-14   5.88
1995-12-15   5.92
1995-12-18   5.92
1995-12-19   5.93
1995-12-20   5.74
1995-12-21   5.76
1995-12-22   5.82
1995-12-25      .
1995-12-26   5.83
1995-12-27   5.84
1995-12-28   5.83
1995-12-29   5.80
1996-01-01      .
1996-01-02   5.64
1996-01-03   5.65
1996-01-04   5.63
1996-01-05   5.60
1996-01-08   5.62
1996-01-09   5.60
1996-01-10   5.58
1996-01-11   5.57
1996-01-12   5.56
1996-01-15      .
1996-01-16   5.58
1996-01-17   5.59
1996-01-18   5.56
1996-01-19   5.53
1996-01-22   5.52
1996-01-23   5.51
1996-01-24   5.51
1996-01-25   5.50
1996-01-26   5.51
1996-01-29   5.51
1996-01-30   5.50
1996-01-31   5.48
1996-02-01   5.31
1996-02-02   5.29
1996-02-05   5.29
1996-02-06   5.28
1996-02-07   5.28
1996-02-08   5.28
1996-02-09   5.27
1996-02-12   5.28
1996-02-13   5.29
1996-02-14   5.29
1996-02-15   5.30
1996-02-16   5.28
1996-02-19      .
1996-02-20   5.29
1996-02-21   5.29
1996-02-22   5.27
1996-02-23   5.27
1996-02-26   5.27
1996-02-27   5.29
1996-02-28   5.30
1996-02-29   5.33
1996-03-01   5.32
1996-03-04   5.31
1996-03-05   5.31
1996-03-06   5.30
1996-03-07   5.30
1996-03-08   5.33
1996-03-11   5.34
1996-03-12   5.34
1996-03-13   5.37
1996-03-14   5.38
1996-03-15   5.40
1996-03-18   5.42
1996-03-19   5.43
1996-03-20   5.44
1996-03-21   5.44
1996-03-22   5.45
1996-03-25   5.46
1996-03-26   5.46
1996-03-27   5.48
1996-03-28   5.50
1996-03-29   5.49
1996-04-01   5.43
1996-04-02   5.43
1996-04-03   5.42
1996-04-04   5.41
1996-04-05      .
1996-04-08   5.41
1996-04-09   5.43
1996-04-10   5.42
1996-04-11   5.42
1996-04-12   5.42
1996-04-15   5.41
1996-04-16   5.40
1996-04-17   5.39
1996-04-18   5.38
1996-04-19   5.38
1996-04-22   5.37
1996-04-23   5.38
1996-04-24   5.39
1996-04-25   5.38
1996-04-26   5.38
1996-04-29   5.39
1996-04-30   5.40
1996-05-01   5.39
1996-05-02   5.40
1996-05-03   5.40
1996-05-06   5.40
1996-05-07   5.41
1996-05-08   5.41
1996-05-09   5.40
1996-05-10   5.39
1996-05-13   5.38
1996-05-14   5.38
1996-05-15   5.38
1996-05-16   5.38
1996-05-17   5.37
1996-05-20   5.37
1996-05-21   5.36
1996-05-22   5.37
1996-05-23   5.36
1996-05-24   5.36
1996-05-27      .
1996-05-28   5.37
1996-05-29   5.37
1996-05-30   5.39
1996-05-31   5.40
1996-06-03   5.42
1996-06-04   5.42
1996-06-05   5.42
1996-06-06   5.40
1996-06-07   5.44
1996-06-10   5.44
1996-06-11   5.43
1996-06-12   5.43
1996-06-13   5.43
1996-06-14   5.43
1996-06-17   5.45
1996-06-18   5.45
1996-06-19   5.46
1996-06-20   5.46
1996-06-21   5.46
1996-06-24   5.48
1996-06-25   5.49
1996-06-26   5.49
1996-06-27   5.50
1996-06-28   5.52
1996-07-01   5.48
1996-07-02   5.48
1996-07-03   5.49
1996-07-04      .
1996-07-05   5.50
1996-07-08   5.49
1996-07-09   5.46
1996-07-10   5.44
1996-07-11   5.43
1996-07-12   5.43
1996-07-15   5.46
1996-07-16   5.46
1996-07-17   5.45
1996-07-18   5.44
1996-07-19   5.41
1996-07-22   5.40
1996-07-23   5.40
1996-07-24   5.40
1996-07-25   5.40
1996-07-26   5.41
1996-07-29   5.42
1996-07-30   5.43
1996-07-31   5.45
1996-08-01   5.45
1996-08-02   5.42
1996-08-05   5.41
1996-08-06   5.40
1996-08-07   5.39
1996-08-08   5.38
1996-08-09   5.38
1996-08-12   5.38
1996-08-13   5.38
1996-08-14   5.39
1996-08-15   5.40
1996-08-16   5.38
1996-08-19   5.37
1996-08-20   5.37
1996-08-21   5.36
1996-08-22   5.35
1996-08-23   5.35
1996-08-26   5.38
1996-08-27   5.38
1996-08-28   5.39
1996-08-29   5.39
1996-08-30   5.40
1996-09-02      .
1996-09-03   5.44
1996-09-04   5.44
1996-09-05   5.45
1996-09-06   5.46
1996-09-09   5.45
1996-09-10   5.45
1996-09-11   5.47
1996-09-12   5.46
1996-09-13   5.43
1996-09-16   5.43
1996-09-17   5.44
1996-09-18   5.45
1996-09-19   5.45
1996-09-20   5.48
1996-09-23   5.52
1996-09-24   5.54
1996-09-25   5.44
1996-09-26   5.42
1996-09-27   5.42
1996-09-30   5.44
1996-10-01   5.43
1996-10-02   5.41
1996-10-03   5.40
1996-10-04   5.37
1996-10-07   5.36
1996-10-08   5.36
1996-10-09   5.36
1996-10-10   5.36
1996-10-11   5.35
1996-10-14      .
1996-10-15   5.35
1996-10-16   5.35
1996-10-17   5.35
1996-10-18   5.34
1996-10-21   5.35
1996-10-22   5.35
1996-10-23   5.36
1996-10-24   5.36
1996-10-25   5.37
1996-10-28   5.37
1996-10-29   5.37
1996-10-30   5.36
1996-10-31   5.38
1996-11-01   5.39
1996-11-04   5.38
1996-11-05   5.37
1996-11-06   5.39
1996-11-07   5.38
1996-11-08   5.37
1996-11-11      .
1996-11-12   5.37
1996-11-13   5.37
1996-11-14   5.38
1996-11-15   5.42
1996-11-18   5.41
1996-11-19   5.40
1996-11-20   5.41
1996-11-21   5.40
1996-11-22   5.39
1996-11-25   5.40
1996-11-26   5.40
1996-11-27   5.41
1996-11-28      .
1996-11-29   5.45
1996-12-02   5.54
1996-12-03   5.54
1996-12-04   5.52
1996-12-05   5.52
1996-12-06   5.54
1996-12-09   5.53
1996-12-10   5.55
1996-12-11   5.57
1996-12-12   5.59
1996-12-13   5.63
1996-12-16   5.65
1996-12-17   5.68
1996-12-18   5.72
1996-12-19   5.80
1996-12-20   5.82
1996-12-23   5.84
1996-12-24   5.85
1996-12-25      .
1996-12-26   5.90
1996-12-27   5.93
1996-12-30   5.96
1996-12-31   5.95
1997-01-01      .
1997-01-02   5.48
1997-01-03   5.46
1997-01-06   5.44
1997-01-07   5.43
1997-01-08   5.42
1997-01-09   5.42
1997-01-10   5.43
1997-01-13   5.44
1997-01-14   5.44
1997-01-15   5.44
1997-01-16   5.43
1997-01-17   5.42
1997-01-20      .
1997-01-21   5.43
1997-01-22   5.42
1997-01-23   5.42
1997-01-24   5.42
1997-01-27   5.43
1997-01-28   5.43
1997-01-29   5.44
1997-01-30   5.44
1997-01-31   5.45
1997-02-03   5.44
1997-02-04   5.43
1997-02-05   5.41
1997-02-06   5.41
1997-02-07   5.39
1997-02-10   5.38
1997-02-11   5.38
1997-02-12   5.39
1997-02-13   5.38
1997-02-14   5.37
1997-02-17      .
1997-02-18   5.38
1997-02-19   5.37
1997-02-20   5.37
1997-02-21   5.36
1997-02-24   5.37
1997-02-25   5.36
1997-02-26   5.38
1997-02-27   5.40
1997-02-28   5.41
1997-03-03   5.43
1997-03-04   5.42
1997-03-05   5.43
1997-03-06   5.43
1997-03-07   5.44
1997-03-10   5.41
1997-03-11   5.40
1997-03-12   5.41
1997-03-13   5.42
1997-03-14   5.43
1997-03-17   5.45
1997-03-18   5.47
1997-03-19   5.47
1997-03-20   5.51
1997-03-21   5.59
1997-03-24   5.61
1997-03-25   5.63
1997-03-26   5.67
1997-03-27   5.68
1997-03-28   5.70
1997-03-31   5.74
1997-04-01   5.67
1997-04-02   5.65
1997-04-03   5.64
1997-04-04   5.64
1997-04-07   5.63
1997-04-08   5.62
1997-04-09   5.62
1997-04-10   5.60
1997-04-11   5.61
1997-04-14   5.62
1997-04-15   5.62
1997-04-16   5.60
1997-04-17   5.58
1997-04-18   5.59
1997-04-21   5.59
1997-04-22   5.59
1997-04-23   5.59
1997-04-24   5.59
1997-04-25   5.60
1997-04-28   5.61
1997-04-29   5.60
1997-04-30   5.61
