Title:               20-Year 2-1/2% Treasury Inflation-Indexed Bond, Due 1/15/2029©
Series ID:           WTP20J29
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2010-01-08 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Yield to maturity on accrued principal.
                     Average of business days. Copyright, 2016, Haver Analytics. Reprinted
                     with permission. Calculated from data provided by the Wall Street
                     Journal. Treasury Inflation-Protected Securities, or TIPS, are
                     securities whose principal is tied to the Consumer Price Index (CPI).
                     The principal increases with inflation and decreases with deflation.
                     When the security matures, the U.S. Treasury pays the original or
                     adjusted principal, whichever is greater.

DATE         VALUE
2010-01-08   2.009
2010-01-15   2.008
2010-01-22   1.979
2010-01-29   1.976
2010-02-05   1.954
2010-02-12   2.075
2010-02-19   2.133
2010-02-26   2.145
2010-03-05   2.118
2010-03-12   2.145
2010-03-19   2.080
2010-03-26   2.147
2010-04-02   2.174
2010-04-09   2.130
2010-04-16   2.027
2010-04-23   1.981
2010-04-30   1.891
2010-05-07   1.773
2010-05-14   1.784
2010-05-21   1.763
2010-05-28   1.784
2010-06-04   1.787
2010-06-11   1.759
2010-06-18   1.755
2010-06-25   1.697
2010-07-02   1.702
2010-07-09   1.783
2010-07-16   1.785
2010-07-23   1.830
2010-07-30   1.824
2010-08-06   1.732
2010-08-13   1.638
2010-08-20   1.585
2010-08-27   1.535
2010-09-03   1.467
2010-09-10   1.475
2010-09-17   1.481
2010-09-24   1.387
2010-10-01   1.338
2010-10-08   1.256
2010-10-15   1.163
2010-10-22   1.131
2010-10-29   1.140
2010-11-05   1.100
2010-11-12   1.240
2010-11-19   1.430
2010-11-26   1.369
2010-12-03   1.439
2010-12-10   1.618
2010-12-17   1.726
2010-12-24   1.673
2010-12-31   1.693
2011-01-07   1.693
2011-01-14   1.659
2011-01-21   1.724
2011-01-28   1.790
2011-02-04   1.865
2011-02-11   1.996
2011-02-18   1.963
2011-02-25   1.761
2011-03-04   1.701
2011-03-11   1.653
2011-03-18   1.561
2011-03-25   1.612
2011-04-01   1.647
2011-04-08       .
2011-04-15   1.526
2011-04-22   1.435
2011-04-29   1.450
2011-05-06   1.382
2011-05-13   1.418
2011-05-20   1.470
2011-05-27   1.454
2011-06-03   1.419
2011-06-10   1.434
2011-06-17   1.449
2011-06-24   1.431
2011-07-01   1.419
2011-07-08   1.404
2011-07-15   1.247
2011-07-22   1.245
2011-07-29   1.164
2011-08-05   0.868
2011-08-12   0.630
2011-08-19   0.604
2011-08-26   0.673
2011-09-02   0.688
2011-09-09   0.606
2011-09-16   0.663
2011-09-23   0.592
2011-09-30   0.734
2011-10-07   0.605
2011-10-14   0.776
2011-10-21   0.740
2011-10-28   0.694
2011-11-04   0.474
2011-11-11   0.417
2011-11-18   0.505
2011-11-25   0.492
2011-12-02   0.481
2011-12-09   0.520
2011-12-16   0.439
2011-12-23   0.400
2011-12-30   0.432
2012-01-06   0.440
2012-01-13   0.390
2012-01-20   0.394
2012-01-27   0.418
2012-02-03   0.279
2012-02-10   0.330
2012-02-17   0.310
2012-02-24   0.316
2012-03-02   0.306
2012-03-09   0.386
2012-03-16   0.429
2012-03-23   0.480
2012-03-30   0.463
2012-04-06   0.461
2012-04-13   0.336
2012-04-20   0.286
2012-04-27   0.260
2012-05-04   0.266
2012-05-11   0.222
2012-05-18   0.133
2012-05-25   0.083
2012-06-01   0.036
2012-06-08  -0.031
2012-06-15   0.026
2012-06-22   0.039
2012-06-29   0.061
2012-07-06   0.024
2012-07-13  -0.077
2012-07-20  -0.099
2012-07-27  -0.119
2012-08-03  -0.119
2012-08-10  -0.061
2012-08-17   0.094
2012-08-24   0.067
2012-08-31  -0.055
2012-09-07  -0.060
2012-09-14  -0.060
2012-09-21  -0.102
2012-09-28  -0.146
2012-10-05  -0.192
2012-10-12  -0.169
2012-10-19  -0.085
2012-10-26  -0.111
2012-11-02  -0.189
2012-11-09  -0.225
2012-11-16  -0.252
2012-11-23  -0.159
2012-11-30  -0.180
2012-12-07  -0.276
2012-12-14  -0.264
2012-12-21  -0.154
2012-12-28  -0.190
2013-01-04  -0.061
2013-01-11  -0.075
2013-01-18  -0.099
2013-01-25  -0.099
2013-02-01  -0.004
2013-02-08  -0.005
2013-02-15   0.032
2013-02-22   0.055
2013-03-01  -0.031
2013-03-08  -0.007
2013-03-15   0.052
2013-03-22  -0.004
2013-03-29  -0.018
2013-04-05  -0.098
2013-04-12  -0.127
2013-04-19  -0.139
2013-04-26  -0.174
2013-05-03  -0.151
2013-05-10  -0.005
2013-05-17   0.107
2013-05-24   0.224
2013-05-31   0.400
2013-06-07   0.456
2013-06-14   0.664
2013-06-21   0.832
2013-06-28   0.988
2013-07-05   0.889
2013-07-12   0.983
2013-07-19   0.859
2013-07-26   0.875
2013-08-02   0.906
2013-08-09   0.821
2013-08-16   0.959
2013-08-23   1.123
2013-08-30   1.011
2013-09-06   1.197
2013-09-13   1.179
2013-09-20   1.044
2013-09-27   0.888
2013-10-04   0.875
2013-10-11   0.894
2013-10-18   0.920
2013-10-25   0.833
2013-11-01   0.838
2013-11-08   0.961
2013-11-15   1.023
