Title:               30-Year 2-1/8% Treasury Inflation-Indexed Bond, Due 2/15/2041©
Series ID:           DTP30F41
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2011-02-23 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
2011-02-23  2.059
2011-02-24  1.989
2011-02-25  1.975
2011-02-28  1.962
2011-03-01  1.943
2011-03-02  1.958
2011-03-03  1.996
2011-03-04  1.947
2011-03-07  1.931
2011-03-08  1.951
2011-03-09  1.930
2011-03-10  1.863
2011-03-11  1.891
2011-03-14  1.883
2011-03-15  1.867
2011-03-16  1.804
2011-03-17  1.798
2011-03-18  1.800
2011-03-21  1.821
2011-03-22  1.851
2011-03-23  1.889
2011-03-24  1.862
2011-03-25  1.900
2011-03-28  1.894
2011-03-29  1.930
2011-03-30  1.899
2011-03-31  1.871
2011-04-01  1.833
2011-04-04  1.808
2011-04-05  1.818
2011-04-06  1.904
2011-04-07  1.881
2011-04-08  1.836
2011-04-11  1.839
2011-04-12  1.779
2011-04-13  1.767
2011-04-14  1.755
2011-04-15  1.677
2011-04-18  1.682
2011-04-19  1.644
2011-04-20  1.693
2011-04-21  1.737
2011-04-22      .
2011-04-25  1.726
2011-04-26  1.712
2011-04-27  1.767
2011-04-28  1.730
2011-04-29  1.708
2011-05-02  1.702
2011-05-03  1.676
2011-05-04  1.649
2011-05-05  1.662
2011-05-06  1.677
2011-05-09  1.671
2011-05-10  1.699
2011-05-11  1.707
2011-05-12  1.750
2011-05-13  1.753
2011-05-16  1.759
2011-05-17  1.757
2011-05-18  1.762
2011-05-19  1.806
2011-05-20  1.824
