Title:               Effective Federal Funds Rate: 99th Percentile
Series ID:           EFFR99
Source:              Federal Reserve Bank of New York
Release:             Federal Funds Data (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2016-03-01 to 2017-01-12
Last Updated:        2017-01-13 8:16 AM CST
Notes:               The federal funds market consists of domestic unsecured borrowings in
                     U.S. dollars by depository institutions from other depository
                     institutions and certain other entities, primarily
                     government-sponsored enterprises.
                     
                     The effective federal funds rate (EFFR) is calculated as a
                     volume-weighted median of overnight federal funds transactions
                     reported in the FR 2420 Report of Selected Money Market Rates.
                     
                     For more information, see https://www.newyorkfed.org/markets/obfrinfo

DATE       VALUE
2016-03-01  0.50
2016-03-02  0.45
2016-03-03  0.50
2016-03-04  0.52
2016-03-07  0.50
2016-03-08  0.50
2016-03-09  0.52
2016-03-10  0.75
2016-03-11  0.50
2016-03-14  0.50
2016-03-15  0.50
2016-03-16  0.50
2016-03-17  0.50
2016-03-18  0.55
2016-03-21  0.56
2016-03-22  0.55
2016-03-23  0.55
2016-03-24  0.56
2016-03-25  0.56
2016-03-28  0.56
2016-03-29  0.55
2016-03-30  0.56
2016-03-31  0.56
2016-04-01  0.55
2016-04-04  0.55
2016-04-05  0.55
2016-04-06  0.55
2016-04-07  0.53
2016-04-08  0.53
2016-04-11  0.50
2016-04-12  0.50
2016-04-13  0.53
2016-04-14  0.56
2016-04-15  0.50
2016-04-18  0.56
2016-04-19  0.56
2016-04-20  0.56
2016-04-21  0.56
2016-04-22  0.56
2016-04-25  0.56
2016-04-26  0.56
2016-04-27  0.56
2016-04-28  0.56
2016-04-29  0.56
2016-05-02  0.56
2016-05-03  0.56
2016-05-04  0.56
2016-05-05  0.56
2016-05-06  0.56
2016-05-09  0.56
2016-05-10  0.53
2016-05-11  0.55
2016-05-12  0.55
2016-05-13  0.56
2016-05-16  0.56
2016-05-17  0.56
2016-05-18  0.55
2016-05-19  0.56
2016-05-20  0.56
2016-05-23  0.56
2016-05-24  0.56
2016-05-25  0.50
2016-05-26  0.56
2016-05-27  0.56
2016-05-30     .
2016-05-31  0.56
2016-06-01  0.53
2016-06-02  0.53
2016-06-03  0.50
