Title:               5-Year 1-1/4% Treasury Inflation-Indexed Note, Due 4/15/2014 (DISCONTINUED)©
Series ID:           DTP5A14
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2009-04-30 to 2014-04-15
Last Updated:        2014-04-16 6:11 AM CDT
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2009-04-30   1.090
2009-05-01   1.238
2009-05-04   1.198
2009-05-05   1.177
2009-05-06   1.114
2009-05-07   1.078
2009-05-08   1.109
2009-05-11   1.038
2009-05-12   1.007
2009-05-13   1.014
2009-05-14   1.012
2009-05-15   0.998
2009-05-18   1.047
2009-05-19   1.031
2009-05-20   0.926
2009-05-21   1.020
2009-05-22   1.030
2009-05-25       .
2009-05-26   1.043
2009-05-27   1.049
2009-05-28   1.125
2009-05-29   0.957
2009-06-01   1.016
2009-06-02   0.931
2009-06-03   0.898
2009-06-04   1.002
2009-06-05   1.127
2009-06-08   1.217
2009-06-09   1.104
2009-06-10   1.048
2009-06-11   1.097
2009-06-12   1.127
2009-06-15   1.120
2009-06-16   1.146
2009-06-17   1.233
2009-06-18   1.324
2009-06-19   1.270
2009-06-22   1.297
2009-06-23   1.240
2009-06-24   1.361
2009-06-25   1.237
2009-06-26   1.311
2009-06-29   1.304
2009-06-30   1.162
2009-07-01   1.146
2009-07-02   1.142
2009-07-03       .
2009-07-06   1.162
2009-07-07   1.122
2009-07-08   1.054
2009-07-09   1.202
2009-07-10   1.135
2009-07-13   1.186
2009-07-14   1.179
2009-07-15   1.230
2009-07-16   1.172
2009-07-17   1.134
2009-07-20   1.036
2009-07-21   1.006
2009-07-22   1.070
2009-07-23   1.161
2009-07-24   1.154
2009-07-27   1.168
2009-07-28   1.216
2009-07-29   1.281
2009-07-30   1.270
2009-07-31   1.185
2009-08-03   1.253
2009-08-04   1.188
2009-08-05   1.291
2009-08-06   1.309
2009-08-07   1.336
2009-08-10   1.302
2009-08-11   1.298
2009-08-12   1.309
2009-08-13   1.278
2009-08-14   1.350
2009-08-17   1.326
2009-08-18   1.305
2009-08-19   1.205
2009-08-20   1.115
2009-08-21   1.174
2009-08-24   1.198
2009-08-25   1.236
2009-08-26   1.240
2009-08-27   1.250
2009-08-28   1.246
2009-08-31   1.250
2009-09-01   1.191
2009-09-02   1.159
2009-09-03   1.159
2009-09-04   1.089
2009-09-07       .
2009-09-08   1.016
2009-09-09   0.968
2009-09-10   0.926
