Title:               20-Year 2-3/8% Treasury Inflation-Indexed Bond, Due 1/15/2027©
Series ID:           DTP20J27
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2010-01-04 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE         VALUE
2010-01-04   2.022
2010-01-05   1.955
2010-01-06   1.989
2010-01-07   1.992
2010-01-08   1.959
2010-01-11   2.005
2010-01-12   1.934
2010-01-13   2.013
2010-01-14   1.978
2010-01-15   1.961
2010-01-18       .
2010-01-19   1.971
2010-01-20   1.941
2010-01-21   1.926
2010-01-22   1.933
2010-01-25   1.950
2010-01-26   1.951
2010-01-27   1.967
2010-01-28   1.934
2010-01-29   1.887
2010-02-01   1.889
2010-02-02   1.874
2010-02-03   1.932
2010-02-04   1.910
2010-02-05   1.943
2010-02-08   1.944
2010-02-09   1.981
2010-02-10   2.045
2010-02-11   2.090
2010-02-12   2.088
2010-02-15       .
2010-02-16   2.051
2010-02-17   2.082
2010-02-18   2.105
2010-02-19   2.091
2010-02-22   2.129
2010-02-23   2.088
2010-02-24   2.115
2010-02-25   2.088
2010-02-26   2.056
2010-03-01   2.076
2010-03-02   2.074
2010-03-03   2.076
2010-03-04   2.046
2010-03-05   2.080
2010-03-08   2.104
2010-03-09   2.105
2010-03-10   2.100
2010-03-11   2.105
2010-03-12   2.067
2010-03-15   2.066
2010-03-16   2.025
2010-03-17   2.001
2010-03-18   2.018
2010-03-19   2.039
2010-03-22   2.021
2010-03-23   2.038
2010-03-24   2.135
2010-03-25   2.150
2010-03-26   2.128
2010-03-29   2.148
2010-03-30   2.148
2010-03-31   2.087
2010-04-01   2.080
2010-04-02   2.145
2010-04-05   2.178
2010-04-06   2.135
2010-04-07   2.022
2010-04-08   2.042
2010-04-09   2.034
2010-04-12   2.001
2010-04-13   1.976
2010-04-14   2.009
2010-04-15   1.977
2010-04-16   1.942
2010-04-19   1.974
2010-04-20   1.951
2010-04-21   1.893
2010-04-22   1.929
2010-04-23   1.924
2010-04-26   1.931
2010-04-27   1.844
2010-04-28   1.890
2010-04-29   1.794
2010-04-30   1.748
2010-05-03   1.790
2010-05-04   1.755
2010-05-05   1.735
2010-05-06   1.645
2010-05-07   1.708
2010-05-10   1.755
2010-05-11   1.757
2010-05-12   1.746
2010-05-13   1.729
2010-05-14   1.686
2010-05-17   1.727
2010-05-18   1.654
2010-05-19   1.721
2010-05-20   1.775
2010-05-21   1.710
2010-05-24   1.721
2010-05-25   1.739
2010-05-26   1.727
2010-05-27   1.768
2010-05-28   1.740
2010-05-31       .
2010-06-01   1.742
2010-06-02   1.787
2010-06-03   1.767
2010-06-04   1.671
2010-06-07   1.689
2010-06-08   1.705
2010-06-09   1.698
2010-06-10   1.780
2010-06-11   1.723
2010-06-14   1.738
2010-06-15   1.755
2010-06-16   1.731
2010-06-17   1.652
2010-06-18   1.682
2010-06-21   1.670
2010-06-22   1.618
2010-06-23   1.627
2010-06-24   1.661
2010-06-25   1.659
2010-06-28   1.638
2010-06-29   1.613
2010-06-30   1.612
2010-07-01   1.673
2010-07-02   1.726
2010-07-05       .
2010-07-06   1.705
2010-07-07   1.755
2010-07-08   1.727
2010-07-09   1.734
2010-07-12   1.723
2010-07-13   1.758
2010-07-14   1.718
2010-07-15   1.702
2010-07-16   1.745
2010-07-19   1.812
2010-07-20   1.793
2010-07-21   1.728
2010-07-22   1.736
2010-07-23   1.795
2010-07-26   1.778
2010-07-27   1.800
2010-07-28   1.772
2010-07-29   1.769
2010-07-30   1.711
2010-08-02   1.714
2010-08-03   1.657
2010-08-04   1.680
2010-08-05   1.667
2010-08-06   1.630
2010-08-09   1.638
2010-08-10   1.569
2010-08-11   1.519
2010-08-12   1.593
2010-08-13   1.534
2010-08-16   1.475
2010-08-17   1.536
2010-08-18   1.537
2010-08-19   1.516
2010-08-20   1.527
2010-08-23   1.529
2010-08-24   1.503
2010-08-25   1.478
2010-08-26   1.367
2010-08-27   1.464
2010-08-30   1.405
2010-08-31   1.337
2010-09-01   1.422
2010-09-02   1.425
2010-09-03   1.436
2010-09-06       .
2010-09-07   1.369
2010-09-08   1.402
2010-09-09   1.457
2010-09-10   1.430
2010-09-13   1.375
2010-09-14   1.357
2010-09-15   1.423
2010-09-16   1.465
2010-09-17   1.478
2010-09-20   1.431
2010-09-21   1.330
2010-09-22   1.246
2010-09-23   1.279
2010-09-24   1.335
2010-09-27   1.306
2010-09-28   1.210
2010-09-29   1.281
2010-09-30   1.259
2010-10-01   1.312
2010-10-04   1.305
2010-10-05   1.235
2010-10-06   1.124
2010-10-07   1.172
2010-10-08   1.117
2010-10-11       .
2010-10-12   1.144
2010-10-13   1.069
2010-10-14   1.037
2010-10-15   1.112
2010-10-18   1.080
2010-10-19   1.051
2010-10-20   1.055
2010-10-21   1.056
2010-10-22   1.074
2010-10-25   1.032
2010-10-26   1.079
2010-10-27   1.124
2010-10-28   1.081
2010-10-29   1.033
2010-11-01   1.025
2010-11-02   0.969
2010-11-03   1.050
2010-11-04   1.036
2010-11-05   1.077
2010-11-08   1.097
2010-11-09   1.177
2010-11-10   1.147
2010-11-11       .
2010-11-12   1.256
2010-11-15   1.381
2010-11-16   1.339
2010-11-17   1.371
2010-11-18   1.378
2010-11-19   1.343
2010-11-22   1.287
2010-11-23   1.261
2010-11-24   1.362
2010-11-25       .
2010-11-26   1.305
2010-11-29   1.277
2010-11-30   1.308
2010-12-01   1.417
2010-12-02   1.419
2010-12-03   1.448
2010-12-06   1.384
2010-12-07   1.506
2010-12-08   1.580
2010-12-09   1.644
2010-12-10   1.682
2010-12-13   1.626
2010-12-14   1.774
2010-12-15   1.736
2010-12-16   1.675
2010-12-17   1.552
2010-12-20   1.636
2010-12-21   1.581
2010-12-22   1.612
2010-12-23   1.650
2010-12-24       .
2010-12-27   1.609
2010-12-28   1.738
2010-12-29   1.630
2010-12-30   1.654
2010-12-31   1.578
2011-01-03   1.621
2011-01-04   1.618
2011-01-05   1.696
2011-01-06   1.655
2011-01-07   1.615
2011-01-10   1.599
2011-01-11   1.596
2011-01-12   1.604
2011-01-13   1.584
2011-01-14   1.617
2011-01-17       .
2011-01-18   1.631
2011-01-19   1.598
2011-01-20   1.712
2011-01-21   1.717
2011-01-24   1.735
2011-01-25   1.694
2011-01-26   1.750
2011-01-27   1.731
2011-01-28   1.717
2011-01-31   1.739
2011-02-01   1.740
2011-02-02   1.775
2011-02-03   1.823
2011-02-04   1.884
2011-02-07   1.877
2011-02-08   1.936
2011-02-09   1.898
2011-02-10   1.985
2011-02-11   1.935
2011-02-14   1.912
2011-02-15   1.913
2011-02-16   1.925
2011-02-17   1.879
2011-02-18   1.845
2011-02-21       .
2011-02-22   1.746
2011-02-23   1.727
2011-02-24   1.650
2011-02-25   1.631
2011-02-28   1.634
2011-03-01   1.598
2011-03-02   1.623
2011-03-03   1.672
2011-03-04   1.600
2011-03-07   1.597
2011-03-08   1.616
2011-03-09   1.594
2011-03-10   1.519
2011-03-11   1.541
2011-03-14   1.539
2011-03-15   1.530
2011-03-16   1.452
2011-03-17   1.445
2011-03-18   1.449
2011-03-21   1.482
2011-03-22   1.518
2011-03-23   1.559
2011-03-24   1.554
2011-03-25   1.583
2011-03-28   1.579
2011-03-29   1.616
2011-03-30   1.587
2011-03-31   1.558
2011-04-01   1.520
2011-04-04   1.494
2011-04-05   1.514
2011-04-06   1.597
2011-04-07   1.570
2011-04-08   1.525
2011-04-11   1.527
2011-04-12   1.471
2011-04-13   1.452
2011-04-14   1.445
2011-04-15   1.365
2011-04-18   1.363
2011-04-19   1.321
2011-04-20   1.368
2011-04-21   1.398
2011-04-22       .
2011-04-25   1.380
2011-04-26   1.360
2011-04-27   1.415
2011-04-28   1.367
2011-04-29   1.345
2011-05-02   1.333
2011-05-03   1.310
2011-05-04   1.280
2011-05-05   1.296
2011-05-06   1.302
2011-05-09   1.290
2011-05-10   1.319
2011-05-11   1.333
2011-05-12   1.370
2011-05-13   1.377
2011-05-16   1.371
2011-05-17   1.374
2011-05-18   1.382
2011-05-19   1.410
2011-05-20   1.422
2011-05-23   1.423
2011-05-24   1.380
2011-05-25   1.386
2011-05-26   1.341
2011-05-27   1.370
2011-05-30       .
2011-05-31   1.366
2011-06-01   1.314
2011-06-02   1.354
2011-06-03   1.337
2011-06-06   1.349
2011-06-07   1.357
2011-06-08   1.348
2011-06-09   1.373
2011-06-10   1.364
2011-06-13   1.370
2011-06-14   1.422
2011-06-15   1.350
2011-06-16   1.335
2011-06-17   1.390
2011-06-20   1.412
2011-06-21   1.391
2011-06-22   1.413
2011-06-23   1.317
2011-06-24   1.243
2011-06-27   1.294
2011-06-28   1.338
2011-06-29   1.336
2011-06-30   1.356
2011-07-01   1.377
2011-07-04       .
2011-07-05   1.354
2011-07-06   1.330
2011-07-07   1.325
2011-07-08   1.259
2011-07-11   1.188
2011-07-12   1.148
2011-07-13   1.109
2011-07-14   1.173
2011-07-15   1.148
2011-07-18   1.148
2011-07-19   1.076
2011-07-20   1.152
2011-07-21   1.172
2011-07-22   1.134
2011-07-25   1.139
2011-07-26   1.106
2011-07-27   1.089
2011-07-28   1.037
2011-07-29   0.890
2011-08-01   0.819
2011-08-02   0.735
2011-08-03   0.779
2011-08-04   0.677
2011-08-05   0.756
2011-08-08   0.627
2011-08-09   0.499
2011-08-10   0.357
2011-08-11   0.593
2011-08-12   0.498
2011-08-15   0.551
2011-08-16   0.517
2011-08-17   0.460
2011-08-18   0.483
2011-08-19   0.433
2011-08-22   0.421
2011-08-23   0.521
2011-08-24   0.655
2011-08-25   0.605
