Title:               30-Year 0-5/8% Treasury Inflation-Indexed Bond, Due 2/15/2043©
Series ID:           DTP30F43
Source:              Dow Jones & Company, Haver Analytics
Release:             Daily Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Daily
Units:               Percent
Date Range:          2013-03-11 to 2017-01-12
Last Updated:        2017-01-13 6:51 AM CST
Notes:               Yield to maturity on accrued principal.
                     Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
2013-03-11  0.655
2013-03-12  0.633
2013-03-13  0.636
2013-03-14  0.644
2013-03-15  0.656
2013-03-18  0.627
2013-03-19  0.607
2013-03-20  0.639
2013-03-21  0.629
2013-03-22  0.606
2013-03-25  0.614
2013-03-26  0.607
2013-03-27  0.582
2013-03-28  0.594
2013-03-29      .
2013-04-01  0.573
2013-04-02  0.586
2013-04-03  0.552
2013-04-04  0.472
2013-04-05  0.357
2013-04-08  0.420
2013-04-09  0.472
2013-04-10  0.551
2013-04-11  0.506
2013-04-12  0.453
2013-04-15  0.427
2013-04-16  0.456
2013-04-17  0.462
2013-04-18  0.512
2013-04-19  0.474
2013-04-22  0.459
2013-04-23  0.452
2013-04-24  0.444
2013-04-25  0.431
2013-04-26  0.397
2013-04-29  0.420
2013-04-30  0.452
2013-05-01  0.440
2013-05-02  0.443
2013-05-03  0.534
2013-05-06  0.577
2013-05-07  0.581
2013-05-08  0.598
2013-05-09  0.618
2013-05-10  0.662
2013-05-13  0.678
2013-05-14  0.715
2013-05-15  0.730
2013-05-16  0.673
2013-05-17  0.739
2013-05-20  0.750
2013-05-21  0.728
2013-05-22  0.823
2013-05-23  0.824
2013-05-24  0.782
2013-05-27      .
2013-05-28  0.870
2013-05-29  0.889
2013-05-30  0.952
2013-05-31  0.978
2013-06-03  0.938
2013-06-04  0.975
2013-06-05  0.957
2013-06-06  0.978
2013-06-07  1.045
2013-06-10  1.144
2013-06-11  1.132
2013-06-12  1.199
2013-06-13  1.157
2013-06-14  1.125
2013-06-17  1.187
2013-06-18  1.146
2013-06-19  1.236
2013-06-20  1.371
2013-06-21  1.434
2013-06-24  1.421
2013-06-25  1.420
2013-06-26  1.345
2013-06-27  1.285
2013-06-28  1.251
2013-07-01  1.270
2013-07-02  1.216
2013-07-03  1.261
2013-07-04      .
2013-07-05  1.402
2013-07-08  1.361
2013-07-09  1.382
2013-07-10  1.427
2013-07-11  1.382
2013-07-12  1.388
2013-07-15  1.327
2013-07-16  1.283
2013-07-17  1.269
2013-07-18  1.331
2013-07-19  1.255
2013-07-22  1.243
2013-07-23  1.291
2013-07-24  1.380
2013-07-25  1.391
2013-07-26  1.343
2013-07-29  1.360
2013-07-30  1.371
2013-07-31  1.304
2013-08-01  1.376
2013-08-02  1.333
2013-08-05  1.345
2013-08-06  1.300
2013-08-07  1.253
2013-08-08  1.242
2013-08-09  1.242
2013-08-12  1.283
2013-08-13  1.389
2013-08-14  1.412
2013-08-15  1.479
2013-08-16  1.556
2013-08-19  1.618
2013-08-20  1.551
2013-08-21  1.574
2013-08-22  1.590
2013-08-23  1.493
2013-08-26  1.462
2013-08-27  1.382
2013-08-28  1.434
2013-08-29  1.411
2013-08-30  1.430
2013-09-02      .
2013-09-03  1.513
2013-09-04  1.557
2013-09-05  1.620
2013-09-06  1.594
2013-09-09  1.570
2013-09-10  1.590
2013-09-11  1.536
2013-09-12  1.550
2013-09-13  1.556
2013-09-16  1.581
2013-09-17  1.523
2013-09-18  1.425
2013-09-19  1.467
2013-09-20  1.410
2013-09-23  1.372
2013-09-24  1.345
2013-09-25  1.337
2013-09-26  1.354
2013-09-27  1.368
2013-09-30  1.357
2013-10-01  1.375
2013-10-02  1.363
2013-10-03  1.364
2013-10-04  1.380
2013-10-07  1.356
2013-10-08  1.364
2013-10-09  1.378
2013-10-10  1.402
2013-10-11  1.407
2013-10-14      .
2013-10-15  1.446
2013-10-16  1.415
2013-10-17  1.376
2013-10-18  1.364
2013-10-21  1.383
2013-10-22  1.320
2013-10-23  1.304
2013-10-24  1.313
2013-10-25  1.286
2013-10-28  1.277
2013-10-29  1.297
2013-10-30  1.308
2013-10-31  1.318
2013-11-01  1.394
2013-11-04  1.397
2013-11-05  1.466
2013-11-06  1.441
2013-11-07  1.418
2013-11-08  1.522
2013-11-11      .
2013-11-12  1.531
2013-11-13  1.514
2013-11-14  1.485
2013-11-15  1.489
2013-11-18  1.457
2013-11-19  1.503
2013-11-20  1.616
2013-11-21  1.562
2013-11-22  1.498
2013-11-25  1.498
2013-11-26  1.467
2013-11-27  1.509
2013-11-28      .
2013-11-29  1.513
2013-12-02  1.559
2013-12-03  1.545
2013-12-04  1.618
2013-12-05  1.623
2013-12-06  1.636
2013-12-09  1.605
2013-12-10  1.566
2013-12-11  1.588
2013-12-12  1.603
