Title:               20-Year 2-3/8% Treasury Inflation-Indexed Bond, Due 1/15/2027©
Series ID:           WTP20J27
Source:              Haver Analytics
Release:             Weekly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Friday
Units:               Percent
Date Range:          2010-01-08 to 2017-01-06
Last Updated:        2017-01-09 6:06 AM CST
Notes:               Yield to maturity on accrued principal.
                     Average of business days. Copyright, 2016, Haver Analytics. Reprinted
                     with permission. Calculated from data provided by the Wall Street
                     Journal. Treasury Inflation-Protected Securities, or TIPS, are
                     securities whose principal is tied to the Consumer Price Index (CPI).
                     The principal increases with inflation and decreases with deflation.
                     When the security matures, the U.S. Treasury pays the original or
                     adjusted principal, whichever is greater.

DATE         VALUE
2010-01-08   1.983
2010-01-15   1.978
2010-01-22   1.943
2010-01-29   1.938
2010-02-05   1.910
2010-02-12   2.030
2010-02-19   2.082
2010-02-26   2.095
2010-03-05   2.070
2010-03-12   2.096
2010-03-19   2.030
2010-03-26   2.094
2010-04-02   2.122
2010-04-09   2.082
2010-04-16   1.981
2010-04-23   1.934
2010-04-30   1.841
2010-05-07   1.727
2010-05-14   1.735
2010-05-21   1.717
2010-05-28   1.739
2010-06-04   1.742
2010-06-11   1.719
2010-06-18   1.712
2010-06-25   1.647
2010-07-02   1.652
2010-07-09   1.730
2010-07-16   1.729
2010-07-23   1.773
2010-07-30   1.766
2010-08-06   1.670
2010-08-13   1.571
2010-08-20   1.518
2010-08-27   1.468
2010-09-03   1.405
2010-09-10   1.415
2010-09-17   1.420
2010-09-24   1.324
2010-10-01   1.274
2010-10-08   1.191
2010-10-15   1.091
2010-10-22   1.063
2010-10-29   1.070
2010-11-05   1.031
2010-11-12   1.169
2010-11-19   1.362
2010-11-26   1.304
2010-12-03   1.374
2010-12-10   1.559
2010-12-17   1.673
2010-12-24   1.620
2010-12-31   1.642
2011-01-07   1.641
2011-01-14   1.600
2011-01-21   1.665
2011-01-28   1.725
2011-02-04   1.792
2011-02-11   1.926
2011-02-18   1.895
2011-02-25   1.689
2011-03-04   1.625
2011-03-11   1.573
2011-03-18   1.483
2011-03-25   1.539
2011-04-01   1.572
2011-04-08   1.540
2011-04-15   1.452
2011-04-22   1.363
2011-04-29   1.373
2011-05-06   1.304
2011-05-13   1.338
2011-05-20   1.392
2011-05-27   1.380
2011-06-03   1.343
2011-06-10   1.358
2011-06-17   1.373
2011-06-24   1.355
2011-07-01   1.340
2011-07-08   1.317
2011-07-15   1.153
2011-07-22   1.136
2011-07-29   1.052
2011-08-05   0.753
2011-08-12   0.515
2011-08-19   0.489
2011-08-26   0.557
2011-09-02   0.576
2011-09-09   0.499
2011-09-16   0.558
2011-09-23   0.492
2011-09-30   0.627
2011-10-07   0.511
2011-10-14   0.678
2011-10-21   0.643
2011-10-28   0.601
2011-11-04   0.382
2011-11-11   0.325
2011-11-18   0.415
2011-11-25   0.407
2011-12-02   0.395
2011-12-09   0.435
2011-12-16   0.364
2011-12-23   0.320
2011-12-30   0.350
2012-01-06   0.354
2012-01-13   0.303
2012-01-20   0.305
2012-01-27   0.322
2012-02-03   0.174
2012-02-10   0.225
2012-02-17   0.205
2012-02-24   0.222
2012-03-02   0.207
2012-03-09   0.279
2012-03-16   0.324
2012-03-23   0.373
2012-03-30   0.352
2012-04-06   0.350
2012-04-13   0.223
2012-04-20   0.172
2012-04-27   0.143
2012-05-04   0.144
2012-05-11   0.107
2012-05-18   0.016
2012-05-25  -0.029
2012-06-01  -0.082
2012-06-08  -0.148
2012-06-15  -0.094
2012-06-22  -0.079
2012-06-29  -0.052
2012-07-06  -0.088
2012-07-13  -0.187
2012-07-20  -0.207
2012-07-27  -0.220
2012-08-03  -0.220
2012-08-10  -0.162
2012-08-17  -0.002
2012-08-24  -0.034
2012-08-31  -0.155
2012-09-07  -0.163
2012-09-14  -0.169
2012-09-21  -0.219
2012-09-28  -0.267
2012-10-05  -0.341
2012-10-12  -0.315
2012-10-19  -0.229
2012-10-26  -0.247
2012-11-02  -0.329
2012-11-09  -0.368
2012-11-16  -0.393
2012-11-23  -0.303
2012-11-30  -0.325
2012-12-07  -0.416
2012-12-14  -0.396
2012-12-21  -0.296
2012-12-28  -0.336
2013-01-04  -0.206
2013-01-11  -0.222
2013-01-18  -0.249
2013-01-25  -0.245
2013-02-01  -0.155
2013-02-08  -0.160
2013-02-15  -0.124
2013-02-22  -0.103
2013-03-01  -0.190
2013-03-08  -0.169
2013-03-15  -0.116
2013-03-22  -0.192
2013-03-29  -0.212
2013-04-05  -0.290
2013-04-12  -0.317
2013-04-19  -0.325
2013-04-26  -0.359
2013-05-03  -0.328
2013-05-10  -0.165
2013-05-17  -0.050
2013-05-24   0.063
2013-05-31   0.242
2013-06-07   0.298
2013-06-14   0.517
2013-06-21   0.701
2013-06-28   0.883
2013-07-05   0.781
2013-07-12   0.873
2013-07-19   0.736
2013-07-26   0.746
2013-08-02   0.780
