Title:               2-Month AA Financial Commercial Paper Rate
Series ID:           CPF2M
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.15 Selected Interest Rates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1997-01-01 to 2016-12-01
Last Updated:        2017-01-03 3:46 PM CST
Notes:               Averages of Business Days, Discount Basis

DATE       VALUE
1997-01-01  5.31
1997-02-01  5.28
1997-03-01  5.42
1997-04-01  5.56
1997-05-01  5.56
1997-06-01  5.55
1997-07-01  5.51
1997-08-01  5.50
1997-09-01  5.51
1997-10-01  5.50
1997-11-01  5.65
1997-12-01  5.72
1998-01-01  5.46
1998-02-01  5.47
1998-03-01  5.51
1998-04-01  5.49
1998-05-01  5.50
1998-06-01  5.52
1998-07-01  5.51
1998-08-01  5.51
1998-09-01  5.38
1998-10-01  5.12
1998-11-01  5.19
1998-12-01  5.13
1999-01-01  4.81
1999-02-01  4.82
1999-03-01  4.83
1999-04-01  4.80
1999-05-01  4.82
1999-06-01  5.00
1999-07-01  5.10
1999-08-01  5.24
1999-09-01  5.31
1999-10-01  5.32
1999-11-01  5.85
1999-12-01  5.95
2000-01-01  5.72
2000-02-01  5.84
2000-03-01  5.98
2000-04-01  6.07
2000-05-01  6.50
2000-06-01  6.56
2000-07-01  6.51
2000-08-01  6.49
2000-09-01  6.48
2000-10-01  6.47
2000-11-01  6.54
2000-12-01  6.42
2001-01-01  5.62
2001-02-01  5.29
2001-03-01  4.93
2001-04-01  4.57
2001-05-01  4.00
2001-06-01  3.75
2001-07-01  3.66
2001-08-01  3.48
2001-09-01  2.87
2001-10-01  2.31
2001-11-01  2.02
2001-12-01  1.81
2002-01-01  1.71
2002-02-01  1.78
2002-03-01  1.82
2002-04-01  1.79
2002-05-01  1.77
2002-06-01  1.77
2002-07-01  1.75
2002-08-01  1.72
2002-09-01  1.74
2002-10-01  1.72
2002-11-01  1.37
2002-12-01  1.32
2003-01-01  1.27
2003-02-01  1.25
2003-03-01  1.22
2003-04-01  1.23
2003-05-01  1.22
2003-06-01  1.04
2003-07-01  1.03
2003-08-01  1.05
2003-09-01  1.05
2003-10-01  1.04
2003-11-01  1.06
2003-12-01  1.07
2004-01-01  1.02
2004-02-01  1.02
2004-03-01  1.02
2004-04-01  1.03
2004-05-01  1.08
2004-06-01  1.26
2004-07-01  1.41
2004-08-01  1.57
2004-09-01  1.74
2004-10-01  1.90
2004-11-01  2.13
2004-12-01  2.32
2005-01-01  2.46
2005-02-01  2.61
2005-03-01  2.81
2005-04-01  2.96
2005-05-01  3.08
2005-06-01  3.22
2005-07-01  3.41
2005-08-01  3.60
2005-09-01  3.74
2005-10-01  3.96
2005-11-01  4.16
2005-12-01  4.32
2006-01-01  4.43
2006-02-01  4.57
2006-03-01  4.73
2006-04-01  4.90
2006-05-01  5.02
